nohup: ignoring input
═══════════════════════════════════════════════════
 Speech Separation Training — tasnet
═══════════════════════════════════════════════════
 Device:     CUDA
 Data:       ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360
 Epochs:     100
 Batch:      4 (effective 4 with 1x accum)
 LR:         0.001 (warmup 5 epochs, min 1e-06)
 SR:         8000 Hz
 Segment:    32000 (4s)
 Workers:    4
 Augment:    yes
 Ckpt dir:   ./checkpoints
═══════════════════════════════════════════════════

  [GPU] CUDA device available, 1 GPU(s)
Train CSV: ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
Val CSV:   ./data/Libri2Mix/Libri2Mix/wav8k/min/dev/mixture_dev_mix_clean.csv
[LibriMix] 50800 examples from ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
[LibriMix] CSV columns: mix=1 s1=2 s2=3
Parameters: 8.20173M

  [GPU] CUDA device available, 1 GPU(s)

  [Ep   1/100] 21.1% │ SI-SNR: 3.88 dB │ Loss: -3.8850 │ 1230s │ LR: 2e-04       
  [Ep   1/100] 21.3% │ SI-SNR: 3.91 dB │ Loss: -3.9099 │ 1242s │ LR: 2e-04       
  [Ep   1/100] 21.5% │ SI-SNR: 3.93 dB │ Loss: -3.9322 │ 1253s │ LR: 2e-04       
  [Ep   1/100] 21.7% │ SI-SNR: 3.95 dB │ Loss: -3.9503 │ 1265s │ LR: 2e-04       
  [Ep   1/100] 21.9% │ SI-SNR: 3.97 dB │ Loss: -3.9714 │ 1276s │ LR: 2e-04       
  [Ep   1/100] 22.0% │ SI-SNR: 3.98 dB │ Loss: -3.9805 │ 1288s │ LR: 2e-04       
  [Ep   1/100] 22.2% │ SI-SNR: 3.99 dB │ Loss: -3.9949 │ 1299s │ LR: 2e-04       
  [Ep   1/100] 22.4% │ SI-SNR: 4.01 dB │ Loss: -4.0144 │ 1311s │ LR: 2e-04       
  [Ep   1/100] 22.6% │ SI-SNR: 4.03 dB │ Loss: -4.0274 │ 1322s │ LR: 2e-04       
  [Ep   1/100] 22.8% │ SI-SNR: 4.05 dB │ Loss: -4.0459 │ 1334s │ LR: 2e-04       
  [Ep   1/100] 23.0% │ SI-SNR: 4.06 dB │ Loss: -4.0550 │ 1345s │ LR: 2e-04       
  [Ep   1/100] 23.2% │ SI-SNR: 4.07 dB │ Loss: -4.0684 │ 1357s │ LR: 2e-04       
  [Ep   1/100] 23.4% │ SI-SNR: 4.08 dB │ Loss: -4.0848 │ 1368s │ LR: 2e-04       
  [Ep   1/100] 23.6% │ SI-SNR: 4.09 dB │ Loss: -4.0933 │ 1380s │ LR: 2e-04       
  [Ep   1/100] 23.8% │ SI-SNR: 4.11 dB │ Loss: -4.1070 │ 1391s │ LR: 2e-04       
  [Ep   1/100] 24.0% │ SI-SNR: 4.12 dB │ Loss: -4.1245 │ 1403s │ LR: 2e-04       
  [Ep   1/100] 24.2% │ SI-SNR: 4.13 dB │ Loss: -4.1316 │ 1414s │ LR: 2e-04       
  [Ep   1/100] 24.4% │ SI-SNR: 4.14 dB │ Loss: -4.1368 │ 1426s │ LR: 2e-04       
  [Ep   1/100] 24.6% │ SI-SNR: 4.15 dB │ Loss: -4.1493 │ 1437s │ LR: 2e-04       
  [Ep   1/100] 24.8% │ SI-SNR: 4.16 dB │ Loss: -4.1603 │ 1449s │ LR: 2e-04       
  [Ep   1/100] 25.0% │ SI-SNR: 4.17 dB │ Loss: -4.1675 │ 1460s │ LR: 2e-04       
  [Ep   1/100] 25.2% │ SI-SNR: 4.19 dB │ Loss: -4.1856 │ 1472s │ LR: 2e-04       
  [Ep   1/100] 25.4% │ SI-SNR: 4.20 dB │ Loss: -4.2028 │ 1483s │ LR: 2e-04       
  [Ep   1/100] 25.6% │ SI-SNR: 4.21 dB │ Loss: -4.2076 │ 1495s │ LR: 2e-04       
  [Ep   1/100] 25.8% │ SI-SNR: 4.22 dB │ Loss: -4.2219 │ 1506s │ LR: 2e-04       
  [Ep   1/100] 26.0% │ SI-SNR: 4.23 dB │ Loss: -4.2327 │ 1518s │ LR: 2e-04       
  [Ep   1/100] 26.2% │ SI-SNR: 4.25 dB │ Loss: -4.2453 │ 1529s │ LR: 2e-04       
  [Ep   1/100] 26.4% │ SI-SNR: 4.26 dB │ Loss: -4.2581 │ 1541s │ LR: 2e-04       
  [Ep   1/100] 26.6% │ SI-SNR: 4.28 dB │ Loss: -4.2772 │ 1552s │ LR: 2e-04       
